Date,Adj Close,Close,High,Low,Open,Volume
2000/1/3,829.1398926,829.1799927,829.1799927,829.1799927,829.1799927,0
2000/1/4,783.3920898,783.4299927,783.4299927,783.4299927,783.4299927,0
2000/1/5,775.0526123,775.0900269,775.0900269,775.0900269,775.0900269,0
2000/1/6,744.3340454,744.3699951,744.3699951,744.3699951,744.3699951,0
2000/1/7,756.6535034,756.6900024,756.6900024,756.6900024,756.6900024,0
2000/1/10,787.9918823,788.0300293,788.0300293,788.0300293,788.0300293,0
2000/1/11,768.8728027,768.9099731,768.9099731,768.9099731,768.9099731,0
2000/1/12,755.6735229,755.710022,755.710022,755.710022,755.710022,0
2000/1/13,765.2329712,765.2700195,765.2700195,765.2700195,765.2700195,0
2000/1/14,787.3519287,787.3900146,787.3900146,787.3900146,787.3900146,0
2000/1/18,790.2018433,790.2399902,790.2399902,790.2399902,790.2399902,0
2000/1/19,787.9118652,787.9500122,787.9500122,787.9500122,787.9500122,0
2000/1/20,795.7015381,795.7399902,795.7399902,795.7399902,795.7399902,0
2000/1/21,795.5615234,795.5999756,795.5999756,795.5999756,795.5999756,0
2000/1/24,771.442688,771.4799805,771.4799805,771.4799805,771.4799805,0
2000/1/25,788.9118652,788.9500122,788.9500122,788.9500122,788.9500122,0
2000/1/26,760.2432861,760.2800293,760.2800293,760.2800293,760.2800293,0
2000/1/27,752.2336426,752.2700195,752.2700195,752.2700195,752.2700195,0
2000/1/28,726.3649292,726.4000244,726.4000244,726.4000244,726.4000244,0
2000/1/31,745.3640137,745.4000244,745.4000244,745.4000244,745.4000244,0
2000/2/1,764.8829956,764.9199829,764.9199829,764.9199829,764.9199829,0
2000/2/2,772.192627,772.2299805,772.2299805,772.2299805,772.2299805,0
2000/2/3,799.3712769,799.4099731,799.4099731,799.4099731,799.4099731,0
2000/2/4,811.100769,811.1400146,811.1400146,811.1400146,811.1400146,0
2000/2/7,821.9002686,821.9400024,821.9400024,821.9400024,821.9400024,0
2000/2/8,836.0395508,836.0800171,836.0800171,836.0800171,836.0800171,0
2000/2/9,821.800293,821.8400269,821.8400269,821.8400269,821.8400269,0
2000/2/10,842.8292236,842.8699951,842.8699951,842.8699951,842.8699951,0
