Date,Adj Close,Close,High,Low,Open,Volume
2000/1/3,307.2000122,307.2000122,307.2000122,307.2000122,307.2000122,0
2000/1/4,294.5400085,294.5400085,294.5400085,294.5400085,294.5400085,0
2000/1/5,292.5599976,292.5599976,292.5599976,292.5599976,292.5599976,0
2000/1/6,304.0899963,304.0899963,304.0899963,304.0899963,304.0899963,0
2000/1/7,310.730011,310.730011,310.730011,310.730011,310.730011,0
2000/1/10,305.1900024,305.1900024,305.1900024,305.1900024,305.1900024,0
2000/1/11,301.6099854,301.6099854,301.6099854,301.6099854,301.6099854,0
2000/1/12,305.8599854,305.8599854,305.8599854,305.8599854,305.8599854,0
2000/1/13,313.9100037,313.9100037,313.9100037,313.9100037,313.9100037,0
2000/1/14,322.519989,322.519989,322.519989,322.519989,322.519989,0
2000/1/18,311.980011,311.980011,311.980011,311.980011,311.980011,0
2000/1/19,310.3500061,310.3500061,310.3500061,310.3500061,310.3500061,0
2000/1/20,303.9200134,303.9200134,303.9200134,303.9200134,303.9200134,0
2000/1/21,300.1700134,300.1700134,300.1700134,300.1700134,300.1700134,0
2000/1/24,295.480011,295.480011,295.480011,295.480011,295.480011,0
2000/1/25,298.9100037,298.9100037,298.9100037,298.9100037,298.9100037,0
2000/1/26,309.4400024,309.4400024,309.4400024,309.4400024,309.4400024,0
2000/1/27,312.5400085,312.5400085,312.5400085,312.5400085,312.5400085,0
2000/1/28,300.8900146,300.8900146,300.8900146,300.8900146,300.8900146,0
2000/1/31,311.0899963,311.0899963,311.0899963,311.0899963,311.0899963,0
2000/2/1,311.6700134,311.6700134,311.6700134,311.6700134,311.6700134,0
2000/2/2,308.3800049,308.3800049,308.3800049,308.3800049,308.3800049,0
2000/2/3,307.6300049,307.6300049,307.6300049,307.6300049,307.6300049,0
2000/2/4,302.9299927,302.9299927,302.9299927,302.9299927,302.9299927,0
2000/2/7,300.0700073,300.0700073,300.0700073,300.0700073,300.0700073,0
2000/2/8,303.5499878,303.5499878,303.5499878,303.5499878,303.5499878,0
2000/2/9,295.2200012,295.2200012,295.2200012,295.2200012,295.2200012,0
2000/2/10,289.0100098,289.0100098,289.0100098,289.0100098,289.0100098,0
2000/2/11,288.7999878,288.7999878,288.7999878,288.7999878,288.7999878,0
2000/2/14,284.230011,284.230011,284.230011,284.230011,284.230011,0
