Date,Adj Close,Close,High,Low,Open,Volume
1999/12/31,212.7200012,212.7200012,212.7200012,212.7200012,212.7200012,0
2000/1/3,206.5800018,206.5800018,206.5800018,206.5800018,206.5800018,0
2000/1/4,202.3800049,202.3800049,202.3800049,202.3800049,202.3800049,0
2000/1/5,208.5599976,208.5599976,208.5599976,208.5599976,208.5599976,0
2000/1/6,218.1399994,218.1399994,218.1399994,218.1399994,218.1399994,0
2000/1/7,220.8500061,220.8500061,220.8500061,220.8500061,220.8500061,0
2000/1/10,217.6999969,217.6999969,217.6999969,217.6999969,217.6999969,0
2000/1/11,219.1100006,219.1100006,219.1100006,219.1100006,219.1100006,0
2000/1/12,216.1199951,216.1199951,216.1199951,216.1199951,216.1199951,0
2000/1/13,219.6199951,219.6199951,219.6199951,219.6199951,219.6199951,0
2000/1/14,217.0200043,217.0200043,217.0200043,217.0200043,217.0200043,0
2000/1/18,220.6699982,220.6699982,220.6699982,220.6699982,220.6699982,0
2000/1/19,221.1100006,221.1100006,221.1100006,221.1100006,221.1100006,0
2000/1/20,216.3800049,216.3800049,216.3800049,216.3800049,216.3800049,0
2000/1/21,220.5800018,220.5800018,220.5800018,220.5800018,220.5800018,0
2000/1/24,216.6199951,216.6199951,216.6199951,216.6199951,216.6199951,0
2000/1/25,215.5299988,215.5299988,215.5299988,215.5299988,215.5299988,0
2000/1/26,213.0899963,213.0899963,213.0899963,213.0899963,213.0899963,0
2000/1/27,207.3899994,207.3899994,207.3899994,207.3899994,207.3899994,0
2000/1/28,202.4900055,202.4900055,202.4900055,202.4900055,202.4900055,0
2000/1/31,209.2200012,209.2200012,209.2200012,209.2200012,209.2200012,0
2000/2/1,209.1199951,209.1199951,209.1199951,209.1199951,209.1199951,0
2000/2/2,209.6300049,209.6300049,209.6300049,209.6300049,209.6300049,0
2000/2/3,206.8200073,206.8200073,206.8200073,206.8200073,206.8200073,0
2000/2/4,201.3999939,201.3999939,201.3999939,201.3999939,201.3999939,0
2000/2/7,202.75,202.75,202.75,202.75,202.75,0
2000/2/8,200.3200073,200.3200073,200.3200073,200.3200073,200.3200073,0
2000/2/9,192.2599945,192.2599945,192.2599945,192.2599945,192.2599945,0
2000/2/10,196.0800018,196.0800018,196.0800018,196.0800018,196.0800018,0
2000/2/11,191.6499939,191.6499939,191.6499939,191.6499939,191.6499939,0
2000/2/14,196.1499939,196.1499939,196.1499939,196.1499939,196.1499939,0
2000/2/15,203.8399963,203.8399963,203.8399963,203.8399963,203.8399963,0
2000/2/16,205.1300049,205.1300049,205.1300049,205.1300049,205.1300049,0
2000/2/17,203.8699951,203.8699951,203.8699951,203.8699951,203.8699951,0
2000/2/18,198.2799988,198.2799988,198.2799988,198.2799988,198.2799988,0
2000/2/22,196.1900024,196.1900024,196.1900024,196.1900024,196.1900024,0
2000/2/23,191.7299957,191.7299957,191.7299957,191.7299957,191.7299957,0
2000/2/24,188.3000031,188.3000031,188.3000031,188.3000031,188.3000031,0
2000/2/25,186.0899963,186.0899963,186.0899963,186.0899963,186.0899963,0
2000/2/28,191.8000031,191.8000031,191.8000031,191.8000031,191.8000031,0
2000/2/29,196.1000061,196.1000061,196.1000061,196.1000061,196.1000061,0
2000/3/1,200.4199982,200.4199982,200.4199982,200.4199982,200.4199982,0
2000/3/2,202.8200073,202.8200073,202.8200073,202.8200073,202.8200073,0
2000/3/3,200.2899933,200.2899933,200.2899933,200.2899933,200.2899933,0
2000/3/6,196.4700012,196.4700012,196.4700012,196.4700012,196.4700012,0
2000/3/7,212.7100067,212.7100067,212.7100067,212.7100067,212.7100067,0
2000/3/8,209.5,209.5,209.5,209.5,209.5,0
2000/3/9,212.0500031,212.0500031,212.0500031,212.0500031,212.0500031,0
2000/3/10,207.1300049,207.1300049,207.1300049,207.1300049,207.1300049,0
2000/3/13,204.2100067,204.2100067,204.2100067,204.2100067,204.2100067,0
2000/3/14,206.1799927,206.1799927,206.1799927,206.1799927,206.1799927,0
2000/3/15,207.4900055,207.4900055,207.4900055,207.4900055,207.4900055,0
2000/3/16,215.0500031,215.0500031,215.0500031,215.0500031,215.0500031,0
2000/3/17,207.6100006,207.6100006,207.6100006,207.6100006,207.6100006,0
2000/3/20,203.4299927,203.4299927,203.4299927,203.4299927,203.4299927,0
2000/3/21,209.4700012,209.4700012,209.4700012,209.4700012,209.4700012,0
2000/3/22,206.4900055,206.4900055,206.4900055,206.4900055,206.4900055,0
2000/3/23,207.5800018,207.5800018,207.5800018,207.5800018,207.5800018,0
2000/3/24,209.3600006,209.3600006,209.3600006,209.3600006,209.3600006,0
2000/3/27,207.9299927,207.9299927,207.9299927,207.9299927,207.9299927,0
2000/3/28,207.0099945,207.0099945,207.0099945,207.0099945,207.0099945,0
2000/3/29,218.0399933,218.0399933,218.0399933,218.0399933,218.0399933,0
2000/3/30,218.1199951,218.1199951,218.1199951,218.1199951,218.1199951,0
2000/3/31,216.6199951,216.6199951,216.6199951,216.6199951,216.6199951,0
