Date,Adj Close,Close,High,Low,Open,Volume
2001/1/2,234.4799957,234.4799957,234.4799957,234.4799957,234.4799957,0
2001/1/3,255.1999969,255.1999969,255.1999969,255.1999969,255.1999969,0
2001/1/4,260.4899902,260.4899902,260.4899902,260.4899902,260.4899902,0
2001/1/5,251.8999939,251.8999939,251.8999939,251.8999939,251.8999939,0
2001/1/8,247.8699951,247.8699951,247.8699951,247.8699951,247.8699951,0
2001/1/9,248.2700043,248.2700043,248.2700043,248.2700043,248.2700043,0
2001/1/10,249.0099945,249.0099945,249.0099945,249.0099945,249.0099945,0
2001/1/11,253.2599945,253.2599945,253.2599945,253.2599945,253.2599945,0
2001/1/12,256.5299988,256.5299988,256.5299988,256.5299988,256.5299988,0
2001/1/16,260.8200073,260.8200073,260.8200073,260.8200073,260.8200073,0
2001/1/17,261.25,261.25,261.25,261.25,261.25,0
2001/1/18,259.519989,259.519989,259.519989,259.519989,259.519989,0
2001/1/19,256.5400085,256.5400085,256.5400085,256.5400085,256.5400085,0
2001/1/22,259.7600098,259.7600098,259.7600098,259.7600098,259.7600098,0
2001/1/23,262.1900024,262.1900024,262.1900024,262.1900024,262.1900024,0
2001/1/24,263.7900085,263.7900085,263.7900085,263.7900085,263.7900085,0
2001/1/25,264.8500061,264.8500061,264.8500061,264.8500061,264.8500061,0
2001/1/26,261.2200012,261.2200012,261.2200012,261.2200012,261.2200012,0
2001/1/29,265.8200073,265.8200073,265.8200073,265.8200073,265.8200073,0
2001/1/30,266.269989,266.269989,266.269989,266.269989,266.269989,0
2001/1/31,269.2799988,269.2799988,269.2799988,269.2799988,269.2799988,0
2001/2/1,267.7099915,267.7099915,267.7099915,267.7099915,267.7099915,0
2001/2/2,261.4299927,261.4299927,261.4299927,261.4299927,261.4299927,0
2001/2/5,261.730011,261.730011,261.730011,261.730011,261.730011,0
2001/2/6,261.0799866,261.0799866,261.0799866,261.0799866,261.0799866,0
2001/2/7,261.1900024,261.1900024,261.1900024,261.1900024,261.1900024,0
2001/2/8,257.5400085,257.5400085,257.5400085,257.5400085,257.5400085,0
2001/2/9,252.8999939,252.8999939,252.8999939,252.8999939,252.8999939,0
2001/2/12,258.5700073,258.5700073,258.5700073,258.5700073,258.5700073,0
2001/2/13,260.6700134,260.6700134,260.6700134,260.6700134,260.6700134,0
2001/2/14,259.2600098,259.2600098,259.2600098,259.2600098,259.2600098,0
2001/2/15,260.5299988,260.5299988,260.5299988,260.5299988,260.5299988,0
2001/2/16,257.25,257.25,257.25,257.25,257.25,0
2001/2/20,256.4100037,256.4100037,256.4100037,256.4100037,256.4100037,0
2001/2/21,249.3099976,249.3099976,249.3099976,249.3099976,249.3099976,0
2001/2/22,247.1699982,247.1699982,247.1699982,247.1699982,247.1699982,0
2001/2/23,245.8500061,245.8500061,245.8500061,245.8500061,245.8500061,0
2001/2/26,253.6600037,253.6600037,253.6600037,253.6600037,253.6600037,0
2001/2/27,252.7200012,252.7200012,252.7200012,252.7200012,252.7200012,0
2001/2/28,248.3899994,248.3899994,248.3899994,248.3899994,248.3899994,0
2001/3/1,244.8800049,244.8800049,244.8800049,244.8800049,244.8800049,0
2001/3/2,243.5800018,243.5800018,243.5800018,243.5800018,243.5800018,0
2001/3/5,244.1900024,244.1900024,244.1900024,244.1900024,244.1900024,0
2001/3/6,249.5500031,249.5500031,249.5500031,249.5500031,249.5500031,0
2001/3/7,252.25,252.25,252.25,252.25,252.25,0
2001/3/8,254.3099976,254.3099976,254.3099976,254.3099976,254.3099976,0
2001/3/9,250.8399963,250.8399963,250.8399963,250.8399963,250.8399963,0
2001/3/12,238.3000031,238.3000031,238.3000031,238.3000031,238.3000031,0
2001/3/13,239.3300018,239.3300018,239.3300018,239.3300018,239.3300018,0
2001/3/14,234.4700012,234.4700012,234.4700012,234.4700012,234.4700012,0
2001/3/15,238.25,238.25,238.25,238.25,238.25,0
2001/3/16,233.5399933,233.5399933,233.5399933,233.5399933,233.5399933,0
2001/3/19,236.6900024,236.6900024,236.6900024,236.6900024,236.6900024,0
2001/3/20,233.9100037,233.9100037,233.9100037,233.9100037,233.9100037,0
2001/3/21,230.3399963,230.3399963,230.3399963,230.3399963,230.3399963,0
2001/3/22,224.4499969,224.4499969,224.4499969,224.4499969,224.4499969,0
2001/3/23,228.1000061,228.1000061,228.1000061,228.1000061,228.1000061,0
2001/3/26,233.7599945,233.7599945,233.7599945,233.7599945,233.7599945,0
2001/3/27,239.8000031,239.8000031,239.8000031,239.8000031,239.8000031,0
2001/3/28,235.0599976,235.0599976,235.0599976,235.0599976,235.0599976,0
2001/3/29,236.3999939,236.3999939,236.3999939,236.3999939,236.3999939,0
2001/3/30,236.7700043,236.7700043,236.7700043,236.7700043,236.7700043,0
2001/4/2,233.3099976,233.3099976,233.3099976,233.3099976,233.3099976,0
2001/4/3,224.7899933,224.7899933,224.7899933,224.7899933,224.7899933,0
2001/4/4,226.8999939,226.8999939,226.8999939,226.8999939,226.8999939,0
2001/4/5,236.5399933,236.5399933,236.5399933,236.5399933,236.5399933,0
2001/4/6,235.2200012,235.2200012,235.2200012,235.2200012,235.2200012,0
2001/4/9,234.9499969,234.9499969,234.9499969,234.9499969,234.9499969,0
2001/4/10,238.4700012,238.4700012,238.4700012,238.4700012,238.4700012,0
2001/4/11,237.0200043,237.0200043,237.0200043,237.0200043,237.0200043,0
2001/4/12,238.1600037,238.1600037,238.1600037,238.1600037,238.1600037,0
2001/4/16,238.3399963,238.3399963,238.3399963,238.3399963,238.3399963,0
