Date,Adj Close,Close,High,Low,Open,Volume
2000/1/3,319.0599976,319.0599976,319.0599976,319.0599976,319.0599976,0
2000/1/4,304.9400024,304.9400024,304.9400024,304.9400024,304.9400024,0
2000/1/5,309.1499939,309.1499939,309.1499939,309.1499939,309.1499939,0
2000/1/6,301.3500061,301.3500061,301.3500061,301.3500061,301.3500061,0
2000/1/7,301.1700134,301.1700134,301.1700134,301.1700134,301.1700134,0
2000/1/10,305.3099976,305.3099976,305.3099976,305.3099976,305.3099976,0
2000/1/11,297.75,297.75,297.75,297.75,297.75,0
2000/1/12,301.0700073,301.0700073,301.0700073,301.0700073,301.0700073,0
2000/1/13,302.8900146,302.8900146,302.8900146,302.8900146,302.8900146,0
2000/1/14,305.5499878,305.5499878,305.5499878,305.5499878,305.5499878,0
2000/1/18,305.4200134,305.4200134,305.4200134,305.4200134,305.4200134,0
2000/1/19,306.1900024,306.1900024,306.1900024,306.1900024,306.1900024,0
2000/1/20,305.2200012,305.2200012,305.2200012,305.2200012,305.2200012,0
2000/1/21,307.5499878,307.5499878,307.5499878,307.5499878,307.5499878,0
2000/1/24,300.6099854,300.6099854,300.6099854,300.6099854,300.6099854,0
2000/1/25,298.9100037,298.9100037,298.9100037,298.9100037,298.9100037,0
2000/1/26,296.8900146,296.8900146,296.8900146,296.8900146,296.8900146,0
2000/1/27,295.3200073,295.3200073,295.3200073,295.3200073,295.3200073,0
2000/1/28,288.1900024,288.1900024,288.1900024,288.1900024,288.1900024,0
2000/1/31,311.0499878,311.0499878,311.0499878,311.0499878,311.0499878,0
2000/2/1,307.5299988,307.5299988,307.5299988,307.5299988,307.5299988,0
2000/2/2,304.6799927,304.6799927,304.6799927,304.6799927,304.6799927,0
2000/2/3,301.1000061,301.1000061,301.1000061,301.1000061,301.1000061,0
2000/2/4,301.3500061,301.3500061,301.3500061,301.3500061,301.3500061,0
2000/2/7,306.730011,306.730011,306.730011,306.730011,306.730011,0
2000/2/8,311.7000122,311.7000122,311.7000122,311.7000122,311.7000122,0
2000/2/9,305.3900146,305.3900146,305.3900146,305.3900146,305.3900146,0
2000/2/10,308.1099854,308.1099854,308.1099854,308.1099854,308.1099854,0
2000/2/11,302.0100098,302.0100098,302.0100098,302.0100098,302.0100098,0
2000/2/14,302.2999878,302.2999878,302.2999878,302.2999878,302.2999878,0
2000/2/15,299.269989,299.269989,299.269989,299.269989,299.269989,0
2000/2/16,298.3800049,298.3800049,298.3800049,298.3800049,298.3800049,0
2000/2/17,298.8500061,298.8500061,298.8500061,298.8500061,298.8500061,0
2000/2/18,284.1499939,284.1499939,284.1499939,284.1499939,284.1499939,0
2000/2/22,284.2399902,284.2399902,284.2399902,284.2399902,284.2399902,0
2000/2/23,279.8900146,279.8900146,279.8900146,279.8900146,279.8900146,0
2000/2/24,276.7799988,276.7799988,276.7799988,276.7799988,276.7799988,0
2000/2/25,272.5700073,272.5700073,272.5700073,272.5700073,272.5700073,0
2000/2/28,277.2799988,277.2799988,277.2799988,277.2799988,277.2799988,0
2000/2/29,285.9200134,285.9200134,285.9200134,285.9200134,285.9200134,0
2000/3/1,298.9200134,298.9200134,298.9200134,298.9200134,298.9200134,0
2000/3/2,310.9599915,310.9599915,310.9599915,310.9599915,310.9599915,0
2000/3/3,314.5700073,314.5700073,314.5700073,314.5700073,314.5700073,0
2000/3/6,311.6199951,311.6199951,311.6199951,311.6199951,311.6199951,0
2000/3/7,303.5799866,303.5799866,303.5799866,303.5799866,303.5799866,0
2000/3/8,306.8599854,306.8599854,306.8599854,306.8599854,306.8599854,0
2000/3/9,314.9599915,314.9599915,314.9599915,314.9599915,314.9599915,0
2000/3/10,316.7200012,316.7200012,316.7200012,316.7200012,316.7200012,0
2000/3/13,313.8999939,313.8999939,313.8999939,313.8999939,313.8999939,0
2000/3/14,304.7999878,304.7999878,304.7999878,304.7999878,304.7999878,0
2000/3/15,301.6600037,301.6600037,301.6600037,301.6600037,301.6600037,0
2000/3/16,312.7900085,312.7900085,312.7900085,312.7900085,312.7900085,0
2000/3/17,315.2600098,315.2600098,315.2600098,315.2600098,315.2600098,0
2000/3/20,314.3699951,314.3699951,314.3699951,314.3699951,314.3699951,0
2000/3/21,316.2999878,316.2999878,316.2999878,316.2999878,316.2999878,0
2000/3/22,312.3399963,312.3399963,312.3399963,312.3399963,312.3399963,0
2000/3/23,315.480011,315.480011,315.480011,315.480011,315.480011,0
2000/3/24,316.5299988,316.5299988,316.5299988,316.5299988,316.5299988,0
2000/3/27,321.3900146,321.3900146,321.3900146,321.3900146,321.3900146,0
2000/3/28,315.5100098,315.5100098,315.5100098,315.5100098,315.5100098,0
2000/3/29,319,319,319,319,319,0
2000/3/30,315.5,315.5,315.5,315.5,315.5,0
2000/3/31,317.2000122,317.2000122,317.2000122,317.2000122,317.2000122,0
2000/4/3,322,322,322,322,322,0
2000/4/4,318.5400085,318.5400085,318.5400085,318.5400085,318.5400085,0
2000/4/5,315.0799866,315.0799866,315.0799866,315.0799866,315.0799866,0
2000/4/6,320.2399902,320.2399902,320.2399902,320.2399902,320.2399902,0
2000/4/7,321.0700073,321.0700073,321.0700073,321.0700073,321.0700073,0
